5/9/2021 5:00:35 PM  Counts:902000
1420.753218750  0.059302900
1420.755562500  0.059433022
1420.757906250  0.059506017
1420.760250000  0.059541919
1420.762593750  0.059510611
1420.764937500  0.059472207
1420.767281250  0.059537439
1420.769625000  0.059542375
1420.771968750  0.059628604
1420.774312500  0.059561724
1420.776656250  0.059613806
1420.779000000  0.059593287
1420.781343750  0.059552572
1420.783687500  0.059494126
1420.786031250  0.059858608
1420.788375000  0.059566002
1420.790718750  0.059557405
1420.793062500  0.059680777
1420.795406250  0.059530503
1420.797750000  0.059688881
1420.800093750  0.060486711
1420.802437500  0.059732063
1420.804781250  0.059737008
1420.807125000  0.060793368
1420.809468750  0.061015058
1420.811812500  0.059647803
1420.814156250  0.059622792
1420.816500000  0.059524988
1420.818843750  0.059459464
1420.821187500  0.059831120
1420.823531250  0.059545736
1420.825875000  0.059446111
1420.828218750  0.059395410
1420.830562500  0.059572072
1420.832906250  0.059499286
1420.835250000  0.059453589
1420.837593750  0.059694695
1420.839937500  0.060208643
1420.842281250  0.059373158
1420.844625000  0.059267610
1420.846968750  0.059265090
1420.849312500  0.059181445
1420.851656250  0.059219730
1420.854000000  0.059203264
1420.856343750  0.059122906
1420.858687500  0.059124746
1420.861031250  0.059198059
1420.863375000  0.059095273
1420.865718750  0.059078506
1420.868062500  0.059074384
1420.870406250  0.060260671
1420.872750000  0.059180606
1420.875093750  0.058890821
1420.877437500  0.058759295
1420.879781250  0.058749958
1420.882125000  0.058695860
1420.884468750  0.058757271
1420.886812500  0.058461222
1420.889156250  0.058512396
1420.891500000  0.058473218
1420.893843750  0.058367195
1420.896187500  0.058346908
1420.898531250  0.058370845
1420.900875000  0.058692414
1420.903218750  0.059820771
1420.905562500  0.058146092
1420.907906250  0.058058077
1420.910250000  0.057852375
1420.912593750  0.057762940
1420.914937500  0.057792725
1420.917281250  0.057706504
1420.919625000  0.057453034
1420.921968750  0.057401844
1420.924312500  0.057321637
1420.926656250  0.057302814
1420.929000000  0.057276797
1420.931343750  0.057089845
1420.933687500  0.057420757
1420.936031250  0.056975737
1420.938375000  0.056810400
1420.940718750  0.056683822
1420.943062500  0.056555144
1420.945406250  0.056474022
1420.947750000  0.056408795
1420.950093750  0.056256976
1420.952437500  0.056155717
1420.954781250  0.055964554
1420.957125000  0.056001694
1420.959468750  0.055949570
1420.961812500  0.055748071
1420.964156250  0.056962794
1420.966500000  0.056594050
1420.968843750  0.055527074
1420.971187500  0.055192506
1420.973531250  0.055102090
1420.975875000  0.054888475
1420.978218750  0.055067974
1420.980562500  0.054561150
1420.982906250  0.054392842
1420.985250000  0.054266507
1420.987593750  0.054076645
1420.989937500  0.054019189
1420.992281250  0.053778556
1420.994625000  0.053758917
1420.996968750  0.053617814
1420.999312500  0.053463763
1421.001656250  0.053260407
1421.004000000  0.053028604
1421.006343750  0.052849727
1421.008687500  0.052663541
1421.011031250  0.052594195
1421.013375000  0.052334494
1421.015718750  0.052214095
1421.018062500  0.051975537
1421.020406250  0.052005402
1421.022750000  0.051712179
1421.025093750  0.051579302
1421.027437500  0.053582840
1421.029781250  0.051490007
1421.032125000  0.051025614
1421.034468750  0.050841450
1421.036812500  0.050504429
1421.039156250  0.050416903
1421.041500000  0.050480615
1421.043843750  0.050017445
1421.046187500  0.049688120
1421.048531250  0.049471200
1421.050875000  0.049361916
1421.053218750  0.049145065
1421.055562500  0.048945624
1421.057906250  0.048903561
1421.060250000  0.048934118
1421.062593750  0.048445483
1421.064937500  0.048295921
1421.067281250  0.048080604
1421.069625000  0.047762907
1421.071968750  0.047577316
1421.074312500  0.047300446
1421.076656250  0.047000548
1421.079000000  0.046814158
1421.081343750  0.046800723
1421.083687500  0.046350494
1421.086031250  0.046185215
1421.088375000  0.046086725
1421.090718750  0.047491098
1421.093062500  0.045619013
1421.095406250  0.045304997
1421.097750000  0.045132130
1421.100093750  0.044845636
1421.102437500  0.044661635
1421.104781250  0.044574720
1421.107125000  0.044040458
1421.109468750  0.043903159
1421.111812500  0.043637691
1421.114156250  0.043388992
1421.116500000  0.043206930
1421.118843750  0.043002366
1421.121187500  0.043298227
1421.123531250  0.042751776
1421.125875000  0.042303837
1421.128218750  0.042083664
1421.130562500  0.041837131
1421.132906250  0.041586088
1421.135250000  0.041465845
1421.137593750  0.041165178
1421.139937500  0.040764968
1421.142281250  0.040613386
1421.144625000  0.040280517
1421.146968750  0.040063269
1421.149312500  0.039821748
1421.151656250  0.039752234
1421.154000000  0.040170748
1421.156343750  0.039235778
1421.158687500  0.038983784
1421.161031250  0.038648610
1421.163375000  0.038477497
1421.165718750  0.038344115
1421.168062500  0.038090548
1421.170406250  0.037752396
1421.172750000  0.037512879
1421.175093750  0.037345506
1421.177437500  0.037126526
1421.179781250  0.036822947
1421.182125000  0.036686094
1421.184468750  0.037547193
1421.186812500  0.036376001
1421.189156250  0.036029523
1421.191500000  0.035830244
1421.193843750  0.035583403
1421.196187500  0.035463534
1421.198531250  0.035393751
1421.200875000  0.034947286
1421.203218750  0.034844298
1421.205562500  0.034559782
1421.207906250  0.034363980
1421.210250000  0.034107353
1421.212593750  0.033946747
1421.214937500  0.033889789
1421.217281250  0.033766788
1421.219625000  0.033445899
1421.221968750  0.033230058
1421.224312500  0.033048464
1421.226656250  0.032942577
1421.229000000  0.032800755
1421.231343750  0.032730173
1421.233687500  0.032376538
1421.236031250  0.032313949
1421.238375000  0.032048915
1421.240718750  0.031932465
1421.243062500  0.031781258
1421.245406250  0.031722723
1421.247750000  0.032618325
1421.250093750  0.031368022
1421.252437500  0.031283543
1421.254781250  0.031207471
1421.257125000  0.031082068
1421.259468750  0.030989218
1421.261812500  0.031217009
1421.264156250  0.030939123
1421.266500000  0.030711357
1421.268843750  0.030561910
1421.271187500  0.030509794
1421.273531250  0.030437912
1421.275875000  0.030379536
1421.278218750  0.030412656
1421.280562500  0.030236083
1421.282906250  0.030126235
1421.285250000  0.030122391
1421.287593750  0.030068843
1421.289937500  0.030059637
1421.292281250  0.030089398
1421.294625000  0.030629975
1421.296968750  0.030072563
1421.299312500  0.029997685
1421.301656250  0.030007532

